train,train,train,train,valid,valid,valid,valid
MSE,MAE,IC,ICIR,MSE,MAE,IC,ICIR
0.15447032706524583,0.31417222405685535,0.07315152382983682,0.5135127010756718,0.15506215066830475,0.3145490971864755,0.06959359723277615,0.47499726611031834
0.15362182187924744,0.3128002633212571,0.07824272307264099,0.5449034016758902,0.15411261997009057,0.3131125731994027,0.07529169089871446,0.5064326691742114
0.15290117449408608,0.311561874063104,0.08256667382917637,0.584558735389137,0.15369473420345023,0.31214988605337457,0.07779900134666602,0.5210022517392577
0.15236019014605473,0.31068102131436387,0.08581266047655178,0.6215654856700817,0.15347118024712114,0.3117983784897604,0.07914087646225604,0.5412563824714595
0.15188966266240098,0.3100348375870444,0.08863588921615422,0.6514863133155437,0.15303070400012944,0.3112759927303103,0.08178295558789492,0.5739927816995987
0.1512002215098555,0.3089824957828729,0.09277261618404387,0.718112884628453,0.1525824755727812,0.3107216448432887,0.08447056915183183,0.6432669239976421
0.15082125860440554,0.30892574757584845,0.09504636863971527,0.77922564254665,0.15236387650158634,0.31072650270629953,0.08577805984177725,0.6865292606626031
0.15047204237986636,0.30892523987524995,0.09714154505506307,0.833142929877396,0.15210207659469582,0.31046342732616,0.08734475356802154,0.7214366136567081
0.14995645457605303,0.3085098196803829,0.1002349748182946,0.8847562263779277,0.15143855594741054,0.3101242249822548,0.09131757755445306,0.7671465552537946
0.14948544556685778,0.3080731939547331,0.10306092573328045,0.9259707062986456,0.15103718078715972,0.30980131080397966,0.0937169308806378,0.8043195361229362
0.14924470259389128,0.3079529587284278,0.1045050800961916,0.9591399607779474,0.15090778804245056,0.3097555820264676,0.09448799074922436,0.8324185888805922
0.14898562238647117,0.3077604666761212,0.10605941916425285,0.9842207891607544,0.15046733301004583,0.3093169275965282,0.09711292735300371,0.8662436458180354
0.1487062184061277,0.30753042975938255,0.10773568404775828,1.015838207232892,0.1501729795804415,0.30918760019480224,0.09888311457285857,0.9041495028150869
0.14848800832953565,0.3072499106702075,0.1090447357463535,1.0370258340995488,0.1501528898744266,0.30913538691646464,0.09898624188422292,0.9186060885723377
0.14843509982333583,0.30721849480072666,0.1093620385918699,1.0521289761012993,0.15021161421005633,0.30925741385164346,0.09863220303022918,0.9238467835336146
0.14818362987031927,0.3068899707072069,0.11087085769331646,1.0710090239766488,0.1499244378042673,0.3089066431664833,0.1003523772980293,0.9441771032476319
0.14798127082362292,0.3066496912023617,0.11208489421809534,1.0878940533582293,0.14978055786939434,0.3087591784770205,0.10121178102020503,0.9646289387966547
0.1478311457480511,0.3063831466964542,0.11298557102729653,1.097138662073013,0.14977249671469484,0.3086263827561663,0.10125033882733303,0.9656625420467301
0.14772341589247887,0.3063270926223529,0.11363184381594421,1.1075089840456138,0.1497033417082625,0.3085894847329735,0.10166971560675489,0.9742281006652743
0.14762944209897466,0.30634024272384125,0.11419559594110747,1.1245273256874948,0.14959900380494243,0.3086094068917038,0.1022882358644275,0.9805486283594639
0.14761956442671864,0.30646633771743836,0.1142547901248267,1.1338328897179923,0.1496699312565224,0.30884059561382754,0.1018601871043107,0.97847509007359
